year,state_fips,state_name,estimate
1993,21,Kentucky,3792288
1994,21,Kentucky,3823215
1995,21,Kentucky,3855248
1996,21,Kentucky,3881051
1997,21,Kentucky,3907816
1998,21,Kentucky,3934310
1999,21,Kentucky,3960825
2000,21,Kentucky,4049021
2001,21,Kentucky,4068132
2002,21,Kentucky,4089875
2003,21,Kentucky,4117170
2004,21,Kentucky,4146101
2005,21,Kentucky,4182742
2006,21,Kentucky,4219239
2007,21,Kentucky,4256672
2008,21,Kentucky,4289878
2009,21,Kentucky,4317074
2010,21,Kentucky,4348464
2011,21,Kentucky,4370817
2012,21,Kentucky,4387865
2013,21,Kentucky,4406906
2014,21,Kentucky,4416992
2015,21,Kentucky,4429126
2016,21,Kentucky,4440306
2017,21,Kentucky,4455590
2018,21,Kentucky,4464273
2019,21,Kentucky,4472345
2020,21,Kentucky,4507445
2021,21,Kentucky,4506589
2022,21,Kentucky,4512310
1970,22,Louisiana,3644637
1971,22,Louisiana,3710490
1972,22,Louisiana,3761645
1973,22,Louisiana,3788374
1974,22,Louisiana,3820110
1975,22,Louisiana,3886104
1976,22,Louisiana,3950606
1977,22,Louisiana,4014462
1978,22,Louisiana,4068578
1979,22,Louisiana,4137666
1980,22,Louisiana,4205900
1981,22,Louisiana,4283303
1982,22,Louisiana,4352608
1983,22,Louisiana,4395316
1984,22,Louisiana,4400477
1985,22,Louisiana,4408118
1986,22,Louisiana,4406919
1987,22,Louisiana,4344148
1988,22,Louisiana,4288863
1989,22,Louisiana,4252894
1990,22,Louisiana,4219179
1991,22,Louisiana,4240950
1992,22,Louisiana,4270849
1993,22,Louisiana,4284749
1994,22,Louisiana,4306500
1995,22,Louisiana,4327978
1996,22,Louisiana,4338763
1997,22,Louisiana,4351390
1998,22,Louisiana,4362758
1999,22,Louisiana,4372035
2000,22,Louisiana,4471885
2001,22,Louisiana,4477875
2002,22,Louisiana,4497267
2003,22,Louisiana,4521042
2004,22,Louisiana,4552238
2005,22,Louisiana,4576628
2006,22,Louisiana,4302665
2007,22,Louisiana,4375581
2008,22,Louisiana,4435586
2009,22,Louisiana,4491648
2010,22,Louisiana,4544635
2011,22,Louisiana,4576244
2012,22,Louisiana,4602067
2013,22,Louisiana,4626040
2014,22,Louisiana,4645938
2015,22,Louisiana,4666998
2016,22,Louisiana,4681346
2017,22,Louisiana,4673673
2018,22,Louisiana,4664450
2019,22,Louisiana,4658285
2020,22,Louisiana,4651664
2021,22,Louisiana,4627098
2022,22,Louisiana,4590241
1970,23,Maine,993722
1971,23,Maine,1015389
1972,23,Maine,1034292
1973,23,Maine,1045655
1974,23,Maine,1059040
1975,23,Maine,1071996
1976,23,Maine,1088411
1977,23,Maine,1103577
1978,23,Maine,1113565
1979,23,Maine,1122564
1980,23,Maine,1124660
1981,23,Maine,1133033
1982,23,Maine,1136684
1983,23,Maine,1144772
1984,23,Maine,1155635
1985,23,Maine,1162936
1986,23,Maine,1170126
1987,23,Maine,1184574
1988,23,Maine,1203840
1989,23,Maine,1219961
1990,23,Maine,1231296
1991,23,Maine,1235439
1992,23,Maine,1235748
1993,23,Maine,1238256
1994,23,Maine,1237687
1995,23,Maine,1237438
1996,23,Maine,1241436
1997,23,Maine,1245215
1998,23,Maine,1247554
1999,23,Maine,1253040
2000,23,Maine,1277072
2001,23,Maine,1285692
2002,23,Maine,1295960
2003,23,Maine,1306513
2004,23,Maine,1313688
2005,23,Maine,1318787
2006,23,Maine,1323619
2007,23,Maine,1327040
2008,23,Maine,1330509
2009,23,Maine,1329590
2010,23,Maine,1327651
2011,23,Maine,1328473
2012,23,Maine,1328094
2013,23,Maine,1328543
2014,23,Maine,1331217
2015,23,Maine,1329098
2016,23,Maine,1332348
2017,23,Maine,1335743
2018,23,Maine,1340123
2019,23,Maine,1345770
2020,23,Maine,1363557
2021,23,Maine,1377238
2022,23,Maine,1385340
1970,24,Maryland,3923897
1971,24,Maryland,4018323
1972,24,Maryland,4073500
1973,24,Maryland,4097977
1974,24,Maryland,4118818
1975,24,Maryland,4139096
1976,24,Maryland,4150538
1977,24,Maryland,4169594
1978,24,Maryland,4183604
1979,24,Maryland,4191163
1980,24,Maryland,4216975
1981,24,Maryland,4261905
1982,24,Maryland,4282923
1983,24,Maryland,4313327
1984,24,Maryland,4365243
1985,24,Maryland,4413071
1986,24,Maryland,4486957
1987,24,Maryland,4565557
1988,24,Maryland,4657904
1989,24,Maryland,4727301
1990,24,Maryland,4797431
1991,24,Maryland,4856176
1992,24,Maryland,4902545
1993,24,Maryland,4942504
1994,24,Maryland,4985411
1995,24,Maryland,5023650
1996,24,Maryland,5057142
1997,24,Maryland,5092914
1998,24,Maryland,5130072
1999,24,Maryland,5171634
2000,24,Maryland,5311034
2001,24,Maryland,5374691
2002,24,Maryland,5440389
2003,24,Maryland,5496269
2004,24,Maryland,5546935
2005,24,Maryland,5592379
2006,24,Maryland,5627367
2007,24,Maryland,5653408
2008,24,Maryland,5684965
2009,24,Maryland,5730388
2010,24,Maryland,5788784
2011,24,Maryland,5840241
2012,24,Maryland,5888375
2013,24,Maryland,5925197
2014,24,Maryland,5960064
2015,24,Maryland,5988528
2016,24,Maryland,6007014
2017,24,Maryland,6028186
2018,24,Maryland,6042153
2019,24,Maryland,6054954
2020,24,Maryland,6173205
2021,24,Maryland,6174610
2022,24,Maryland,6164660
1970,25,Massachusetts,5689170
1971,25,Massachusetts,5737581
1972,25,Massachusetts,5760302
1973,25,Massachusetts,5781172
1974,25,Massachusetts,5773548
1975,25,Massachusetts,5757757
1976,25,Massachusetts,5743673
1977,25,Massachusetts,5738201
1978,25,Massachusetts,5736470
1979,25,Massachusetts,5738406
1980,25,Massachusetts,5737037
1981,25,Massachusetts,5768685
1982,25,Massachusetts,5771222
1983,25,Massachusetts,5799407
1984,25,Massachusetts,5840773
1985,25,Massachusetts,5880733
1986,25,Massachusetts,5902678
1987,25,Massachusetts,5935204
1988,25,Massachusetts,5979982
1989,25,Massachusetts,6015478
1990,25,Massachusetts,6018664
1991,25,Massachusetts,5998652
1992,25,Massachusetts,5993474
1993,25,Massachusetts,6010884
1994,25,Massachusetts,6031352
1995,25,Massachusetts,6062335
1996,25,Massachusetts,6085393
1997,25,Massachusetts,6115476
1998,25,Massachusetts,6144407
1999,25,Massachusetts,6175169
2000,25,Massachusetts,6361104
2001,25,Massachusetts,6397634
2002,25,Massachusetts,6417206
2003,25,Massachusetts,6422565
2004,25,Massachusetts,6412281
2005,25,Massachusetts,6403290
2006,25,Massachusetts,6410084
2007,25,Massachusetts,6431559
2008,25,Massachusetts,6468967
2009,25,Massachusetts,6517613
2010,25,Massachusetts,6566440
2011,25,Massachusetts,6614218
2012,25,Massachusetts,6664269
2013,25,Massachusetts,6715158
2014,25,Massachusetts,6764864
2015,25,Massachusetts,6797484
2016,25,Massachusetts,6827280
2017,25,Massachusetts,6863560
2018,25,Massachusetts,6885720
2019,25,Massachusetts,6894883
2020,25,Massachusetts,6995729
2021,25,Massachusetts,6989690
2022,25,Massachusetts,6981974
1970,26,Michigan,8881826
1971,26,Michigan,8974187
1972,26,Michigan,9028945
1973,26,Michigan,9077959
1974,26,Michigan,9117509
1975,26,Michigan,9117668
1976,26,Michigan,9129205
1977,26,Michigan,9171110
1978,26,Michigan,9217762
1979,26,Michigan,9266269
1980,26,Michigan,9262078
1981,26,Michigan,9209287
1982,26,Michigan,9115198
1983,26,Michigan,9047754
1984,26,Michigan,9049452
1985,26,Michigan,9076293
1986,26,Michigan,9127775
1987,26,Michigan,9187481
1988,26,Michigan,9217998
1989,26,Michigan,9253295
1990,26,Michigan,9310462
1991,26,Michigan,9395022
1992,26,Michigan,9470323
1993,26,Michigan,9529240
1994,26,Michigan,9584481
1995,26,Michigan,9659871
1996,26,Michigan,9739184
1997,26,Michigan,9785450
1998,26,Michigan,9820231
1999,26,Michigan,9863775
2000,26,Michigan,9952450
2001,26,Michigan,9991120
2002,26,Michigan,10015710
2003,26,Michigan,10041152
2004,26,Michigan,10055315
2005,26,Michigan,10051137
2006,26,Michigan,10036081
2007,26,Michigan,10001284
2008,26,Michigan,9946889
2009,26,Michigan,9901591
2010,26,Michigan,9877597
2011,26,Michigan,9883053
2012,26,Michigan,9898289
2013,26,Michigan,9914802
2014,26,Michigan,9932033
2015,26,Michigan,9934483
2016,26,Michigan,9954117
2017,26,Michigan,9976752
2018,26,Michigan,9987286
2019,26,Michigan,9984795
2020,26,Michigan,10069577
2021,26,Michigan,10037504
2022,26,Michigan,10034113
1970,27,Minnesota,3806103
1971,27,Minnesota,3853487
1972,27,Minnesota,3869746
1973,27,Minnesota,3889331
1974,27,Minnesota,3903924
1975,27,Minnesota,3932514
1976,27,Minnesota,3964680
1977,27,Minnesota,3989365
1978,27,Minnesota,4015341
1979,27,Minnesota,4050317
1980,27,Minnesota,4075970
1981,27,Minnesota,4111728
1982,27,Minnesota,4131450
1983,27,Minnesota,4141456
1984,27,Minnesota,4157706
1985,27,Minnesota,4184302
1986,27,Minnesota,4205212
1987,27,Minnesota,4235136
1988,27,Minnesota,4296166
1989,27,Minnesota,4338057
1990,27,Minnesota,4387283
1991,27,Minnesota,4427429
1992,27,Minnesota,4471503
1993,27,Minnesota,4521709
1994,27,Minnesota,4566028
1995,27,Minnesota,4605445
1996,27,Minnesota,4647723
1997,27,Minnesota,4687726
1998,27,Minnesota,4726411
1999,27,Minnesota,4775508
2000,27,Minnesota,4933692
2001,27,Minnesota,4982796
2002,27,Minnesota,5018935
2003,27,Minnesota,5053572
2004,27,Minnesota,5087713
2005,27,Minnesota,5119598
2006,27,Minnesota,5163555
2007,27,Minnesota,5207203
2008,27,Minnesota,5247018
2009,27,Minnesota,5281203
2010,27,Minnesota,5310934
2011,27,Minnesota,5346620
2012,27,Minnesota,5377500
2013,27,Minnesota,5414722
2014,27,Minnesota,5452665
2015,27,Minnesota,5484002
2016,27,Minnesota,5525360
2017,27,Minnesota,5569283
2018,27,Minnesota,5608762
2019,27,Minnesota,5640053
2020,27,Minnesota,5709852
2021,27,Minnesota,5711471
2022,27,Minnesota,5717184
1970,28,Mississippi,2216994
1971,28,Mississippi,2265434
1972,28,Mississippi,2307116
1973,28,Mississippi,2349547
1974,28,Mississippi,2378271
1975,28,Mississippi,2399449
1976,28,Mississippi,2429754
1977,28,Mississippi,2459202
1978,28,Mississippi,2487817
1979,28,Mississippi,2507067
1980,28,Mississippi,2520638
1981,28,Mississippi,2539036
1982,28,Mississippi,2556777
1983,28,Mississippi,2567717
1984,28,Mississippi,2578051
1985,28,Mississippi,2588102
1986,28,Mississippi,2593597
1987,28,Mississippi,2588545
1988,28,Mississippi,2580352
1989,28,Mississippi,2574269
1990,28,Mississippi,2577426
1991,28,Mississippi,2591230
1992,28,Mississippi,2610193
1993,28,Mississippi,2635574
1994,28,Mississippi,2663450
1995,28,Mississippi,2690788
1996,28,Mississippi,2709925
1997,28,Mississippi,2731826
1998,28,Mississippi,2751335
1999,28,Mississippi,2768619
2000,28,Mississippi,2848353
2001,28,Mississippi,2852994
2002,28,Mississippi,2858681
2003,28,Mississippi,2868312
2004,28,Mississippi,2889010
2005,28,Mississippi,2905943
2006,28,Mississippi,2904978
2007,28,Mississippi,2928350
2008,28,Mississippi,2947806
2009,28,Mississippi,2958774
2010,28,Mississippi,2970615
2011,28,Mississippi,2979147
2012,28,Mississippi,2984599
2013,28,Mississippi,2989839
2014,28,Mississippi,2991892
2015,28,Mississippi,2990231
2016,28,Mississippi,2990595
2017,28,Mississippi,2990674
2018,28,Mississippi,2982879
2019,28,Mississippi,2978227
2020,28,Mississippi,2958141
2021,28,Mississippi,2949586
2022,28,Mississippi,2940057
1970,29,Missouri,4677623
1971,29,Missouri,4725766
1972,29,Missouri,4758780
1973,29,Missouri,4782644
1974,29,Missouri,4795933
1975,29,Missouri,4808308
1976,29,Missouri,4839028
1977,29,Missouri,4863175
1978,29,Missouri,4889400
1979,29,Missouri,4912428
1980,29,Missouri,4916686
1981,29,Missouri,4932064
1982,29,Missouri,4929451
1983,29,Missouri,4943733
1984,29,Missouri,4975278
1985,29,Missouri,5000268
1986,29,Missouri,5023068
1987,29,Missouri,5056696
1988,29,Missouri,5081736
1989,29,Missouri,5095830
1990,29,Missouri,5126370
1991,29,Missouri,5157770
1992,29,Missouri,5193686
1993,29,Missouri,5237757
1994,29,Missouri,5281206
1995,29,Missouri,5324610
1996,29,Missouri,5367888
1997,29,Missouri,5407113
1998,29,Missouri,5437562
1999,29,Missouri,5468338
2000,29,Missouri,5607285
2001,29,Missouri,5641142
2002,29,Missouri,5674825
2003,29,Missouri,5709403
2004,29,Missouri,5747741
2005,29,Missouri,5790300
2006,29,Missouri,5842704
2007,29,Missouri,5887612
2008,29,Missouri,5923916
2009,29,Missouri,5961088
2010,29,Missouri,5996089
2011,29,Missouri,6011182
2012,29,Missouri,6026027
2013,29,Missouri,6042989
2014,29,Missouri,6059130
2015,29,Missouri,6075411
2016,29,Missouri,6091384
2017,29,Missouri,6111382
2018,29,Missouri,6125986
2019,29,Missouri,6140475
2020,29,Missouri,6153998
2021,29,Missouri,6169823
2022,29,Missouri,6177957
1970,30,Montana,694409
1971,30,Montana,710817
1972,30,Montana,718732
1973,30,Montana,726798
1974,30,Montana,736421
1975,30,Montana,748210
1976,30,Montana,757319
1977,30,Montana,769954
1978,30,Montana,782316
1979,30,Montana,787308
1980,30,Montana,786690
1981,30,Montana,795328
1982,30,Montana,803986
1983,30,Montana,814031
1984,30,Montana,820905
1985,30,Montana,822320
1986,30,Montana,813739
1987,30,Montana,805063
1988,30,Montana,800202
1989,30,Montana,799636
1990,30,Montana,799824
1991,30,Montana,807837
1992,30,Montana,822436
1993,30,Montana,839876
1994,30,Montana,854923
1995,30,Montana,868522
1996,30,Montana,876656
1997,30,Montana,878706
1998,30,Montana,879533
1999,30,Montana,882779
2000,30,Montana,903773
2001,30,Montana,906961
2002,30,Montana,911667
2003,30,Montana,919630
2004,30,Montana,930009
2005,30,Montana,940102
2006,30,Montana,952692
2007,30,Montana,964706
2008,30,Montana,976415
2009,30,Montana,983982
2010,30,Montana,990730
2011,30,Montana,997518
2012,30,Montana,1004168
2013,30,Montana,1014158
2014,30,Montana,1022657
2015,30,Montana,1031495
2016,30,Montana,1042137
2017,30,Montana,1053862
2018,30,Montana,1061818
2019,30,Montana,1070123
2020,30,Montana,1087075
2021,30,Montana,1106227
2022,30,Montana,1122867
1970,31,Nebraska,1485333
1971,31,Nebraska,1504605
1972,31,Nebraska,1519012
1973,31,Nebraska,1529568
1974,31,Nebraska,1539191
1975,31,Nebraska,1543116
1976,31,Nebraska,1550909
1977,31,Nebraska,1556843
1978,31,Nebraska,1563884
1979,31,Nebraska,1567344
1980,31,Nebraska,1569825
1981,31,Nebraska,1578515
1982,31,Nebraska,1581780
1983,31,Nebraska,1584293
1984,31,Nebraska,1588639
1985,31,Nebraska,1584664
1986,31,Nebraska,1574333
1987,31,Nebraska,1566547
1988,31,Nebraska,1571477
1989,31,Nebraska,1574864
1990,31,Nebraska,1580664
1991,31,Nebraska,1590805
1992,31,Nebraska,1602406
1993,31,Nebraska,1612149
1994,31,Nebraska,1621551
1995,31,Nebraska,1635142
1996,31,Nebraska,1647657
1997,31,Nebraska,1656042
1998,31,Nebraska,1660772
1999,31,Nebraska,1666028
2000,31,Nebraska,1713820
2001,31,Nebraska,1719836
2002,31,Nebraska,1728292
2003,31,Nebraska,1738643
2004,31,Nebraska,1749370
2005,31,Nebraska,1761497
2006,31,Nebraska,1772693
2007,31,Nebraska,1783440
2008,31,Nebraska,1796378
2009,31,Nebraska,1812683
2010,31,Nebraska,1829591
2011,31,Nebraska,1840914
2012,31,Nebraska,1853691
2013,31,Nebraska,1865813
2014,31,Nebraska,1879955
2015,31,Nebraska,1892059
2016,31,Nebraska,1906483
2017,31,Nebraska,1916998
2018,31,Nebraska,1925512
2019,31,Nebraska,1932571
2020,31,Nebraska,1962642
2021,31,Nebraska,1963554
2022,31,Nebraska,1967923
1970,32,Nevada,488738
1971,32,Nevada,520016
1972,32,Nevada,546789
1973,32,Nevada,568989
1974,32,Nevada,596823
1975,32,Nevada,619968
1976,32,Nevada,646975
1977,32,Nevada,678334
1978,32,Nevada,719436
1979,32,Nevada,765364
1980,32,Nevada,800493
1981,32,Nevada,847655
1982,32,Nevada,881537
1983,32,Nevada,901977
1984,32,Nevada,924922
1985,32,Nevada,951030
1986,32,Nevada,980613
1987,32,Nevada,1023376
1988,32,Nevada,1075022
1989,32,Nevada,1137382
1990,32,Nevada,1218629
1991,32,Nevada,1285046
1992,32,Nevada,1330694
1993,32,Nevada,1380197
1994,32,Nevada,1456388
1995,32,Nevada,1525777
1996,32,Nevada,1596476
1997,32,Nevada,1675581
1998,32,Nevada,1743772
1999,32,Nevada,1809253
2000,32,Nevada,2018741
2001,32,Nevada,2098399
2002,32,Nevada,2173791
2003,32,Nevada,2248850
2004,32,Nevada,2346222
2005,32,Nevada,2432143
2006,32,Nevada,2522658
2007,32,Nevada,2601072
2008,32,Nevada,2653630
2009,32,Nevada,2684665
2010,32,Nevada,2702483
2011,32,Nevada,2713114
2012,32,Nevada,2744670
2013,32,Nevada,2776956
2014,32,Nevada,2818935
2015,32,Nevada,2868531
2016,32,Nevada,2919555
2017,32,Nevada,2972097
2018,32,Nevada,3030725
2019,32,Nevada,3090771
2020,32,Nevada,3115648
2021,32,Nevada,3146402
2022,32,Nevada,3177772
1970,33,New Hampshire,737681
1971,33,New Hampshire,761851
1972,33,New Hampshire,781106
1973,33,New Hampshire,800951
1974,33,New Hampshire,815913
1975,33,New Hampshire,828557
1976,33,New Hampshire,845248
1977,33,New Hampshire,869762
1978,33,New Hampshire,891520
1979,33,New Hampshire,909075
1980,33,New Hampshire,920610
1981,33,New Hampshire,936621
1982,33,New Hampshire,947719
1983,33,New Hampshire,958134
1984,33,New Hampshire,976864
1985,33,New Hampshire,996753
1986,33,New Hampshire,1025053
1987,33,New Hampshire,1054289
1988,33,New Hampshire,1082577
1989,33,New Hampshire,1104522
1990,33,New Hampshire,1111831
1991,33,New Hampshire,1107055
1992,33,New Hampshire,1112766
1993,33,New Hampshire,1122191
1994,33,New Hampshire,1133054
1995,33,New Hampshire,1145604
1996,33,New Hampshire,1160768
1997,33,New Hampshire,1173239
1998,33,New Hampshire,1185823
1999,33,New Hampshire,1201134
2000,33,New Hampshire,1239882
2001,33,New Hampshire,1255517
2002,33,New Hampshire,1269089
2003,33,New Hampshire,1279840
2004,33,New Hampshire,1290121
2005,33,New Hampshire,1298492
2006,33,New Hampshire,1308389
2007,33,New Hampshire,1312540
2008,33,New Hampshire,1315906
2009,33,New Hampshire,1316102
2010,33,New Hampshire,1316807
2011,33,New Hampshire,1320444
2012,33,New Hampshire,1324677
2013,33,New Hampshire,1327272
2014,33,New Hampshire,1334257
2015,33,New Hampshire,1337480
2016,33,New Hampshire,1343694
2017,33,New Hampshire,1350395
2018,33,New Hampshire,1355064
2019,33,New Hampshire,1360783
2020,33,New Hampshire,1378587
2021,33,New Hampshire,1387505
2022,33,New Hampshire,1395231
1970,34,New Jersey,7171112
1971,34,New Jersey,7281111
1972,34,New Jersey,7335044
1973,34,New Jersey,7333085
1974,34,New Jersey,7332411
1975,34,New Jersey,7337767
1976,34,New Jersey,7339748
1977,34,New Jersey,7337173
1978,34,New Jersey,7350804
1979,34,New Jersey,7366514
1980,34,New Jersey,7364823
1981,34,New Jersey,7407472
1982,34,New Jersey,7430968
1983,34,New Jersey,7467785
1984,34,New Jersey,7515473
1985,34,New Jersey,7565528
1986,34,New Jersey,7622159
1987,34,New Jersey,7670742
1988,34,New Jersey,7712333
1989,34,New Jersey,7726089
1990,34,New Jersey,7757158
1991,34,New Jersey,7784269
1992,34,New Jersey,7827770
1993,34,New Jersey,7874891
1994,34,New Jersey,7918796
1995,34,New Jersey,7965523
1996,34,New Jersey,8009624
1997,34,New Jersey,8054178
1998,34,New Jersey,8095542
1999,34,New Jersey,8143412
2000,34,New Jersey,8430621
2001,34,New Jersey,8492671
2002,34,New Jersey,8552643
2003,34,New Jersey,8601402
2004,34,New Jersey,8634561
2005,34,New Jersey,8651974
2006,34,New Jersey,8661679
2007,34,New Jersey,8677885
2008,34,New Jersey,8711090
2009,34,New Jersey,8755602
2010,34,New Jersey,8799451
2011,34,New Jersey,8828552
2012,34,New Jersey,8845671
2013,34,New Jersey,8857821
2014,34,New Jersey,8867277
2015,34,New Jersey,8870312
2016,34,New Jersey,8873584
2017,34,New Jersey,8888147
2018,34,New Jersey,8891730
2019,34,New Jersey,8891258
2020,34,New Jersey,9271689
2021,34,New Jersey,9267961
2022,34,New Jersey,9261699
1970,35,New Mexico,1017055
1971,35,New Mexico,1053737
1972,35,New Mexico,1078696
1973,35,New Mexico,1105529
1974,35,New Mexico,1131308
1975,35,New Mexico,1159944
1976,35,New Mexico,1189294
1977,35,New Mexico,1215720
1978,35,New Mexico,1238035
1979,35,New Mexico,1284722
1980,35,New Mexico,1302894
1981,35,New Mexico,1332748
1982,35,New Mexico,1363823
1983,35,New Mexico,1394361
1984,35,New Mexico,1416717
1985,35,New Mexico,1438361
1986,35,New Mexico,1462729
1987,35,New Mexico,1478520
1988,35,New Mexico,1490337
1989,35,New Mexico,1503901
1990,35,New Mexico,1519933
1991,35,New Mexico,1547115
1992,35,New Mexico,1580750
1993,35,New Mexico,1614937
1994,35,New Mexico,1653329
1995,35,New Mexico,1682417
1996,35,New Mexico,1706151
1997,35,New Mexico,1722939
1998,35,New Mexico,1733535
1999,35,New Mexico,1739844
2000,35,New Mexico,1821204
2001,35,New Mexico,1831690
2002,35,New Mexico,1855309
2003,35,New Mexico,1877574
2004,35,New Mexico,1903808
2005,35,New Mexico,1932274
2006,35,New Mexico,1962137
2007,35,New Mexico,1990070
2008,35,New Mexico,2010662
2009,35,New Mexico,2036802
2010,35,New Mexico,2064614
2011,35,New Mexico,2080707
2012,35,New Mexico,2087715
2013,35,New Mexico,2092833
2014,35,New Mexico,2090236
2015,35,New Mexico,2090071
2016,35,New Mexico,2092555
2017,35,New Mexico,2092844
2018,35,New Mexico,2093754
2019,35,New Mexico,2099634
2020,35,New Mexico,2118390
2021,35,New Mexico,2116677
2022,35,New Mexico,2113344
1970,36,New York,18241391
1971,36,New York,18357987
1972,36,New York,18339404
1973,36,New York,18177066
1974,36,New York,18049780
1975,36,New York,18003488
1976,36,New York,17940547
1977,36,New York,17812606
1978,36,New York,17680593
1979,36,New York,17583842
1980,36,New York,17558072
1981,36,New York,17567734
1982,36,New York,17589738
1983,36,New York,17686905
1984,36,New York,17745684
1985,36,New York,17791672
1986,36,New York,17833419
1987,36,New York,17868848
1988,36,New York,17941309
1989,36,New York,17983086
1990,36,New York,18002855
1991,36,New York,18029532
1992,36,New York,18082032
1993,36,New York,18140894
1994,36,New York,18156652
1995,36,New York,18150928
1996,36,New York,18143805
1997,36,New York,18143184
1998,36,New York,18159175
1999,36,New York,18196601
2000,36,New York,19001780
2001,36,New York,19082838
2002,36,New York,19137800
2003,36,New York,19175939
2004,36,New York,19171567
2005,36,New York,19132610
2006,36,New York,19104631
2007,36,New York,19132335
2008,36,New York,19212436
2009,36,New York,19307066
2010,36,New York,19399956
2011,36,New York,19499921
2012,36,New York,19574362
2013,36,New York,19626488
2014,36,New York,19653431
2015,36,New York,19657321
2016,36,New York,19636391
2017,36,New York,19593849
2018,36,New York,19544098
2019,36,New York,19463131
2020,36,New York,20108296
2021,36,New York,19857492
2022,36,New York,19677151
1970,37,North Carolina,5084411
1971,37,North Carolina,5203533
1972,37,North Carolina,5301150
1973,37,North Carolina,5389855
1974,37,North Carolina,5470912
1975,37,North Carolina,5547190
1976,37,North Carolina,5607966
1977,37,North Carolina,5685611
1978,37,North Carolina,5759492
1979,37,North Carolina,5823493
1980,37,North Carolina,5881766
1981,37,North Carolina,5956653
1982,37,North Carolina,6019101
1983,37,North Carolina,6077056
1984,37,North Carolina,6164006
1985,37,North Carolina,6253954
1986,37,North Carolina,6321578
1987,37,North Carolina,6403700
1988,37,North Carolina,6480594
1989,37,North Carolina,6565459
1990,37,North Carolina,6656987
1991,37,North Carolina,6748135
1992,37,North Carolina,6831850
1993,37,North Carolina,6947412
1994,37,North Carolina,7060959
1995,37,North Carolina,7185403
1996,37,North Carolina,7307658
1997,37,North Carolina,7428672
1998,37,North Carolina,7545828
1999,37,North Carolina,7650789
2000,37,North Carolina,8081614
2001,37,North Carolina,8210122
2002,37,North Carolina,8326201
2003,37,North Carolina,8422501
2004,37,North Carolina,8553152
2005,37,North Carolina,8705407
2006,37,North Carolina,8917270
2007,37,North Carolina,9118037
2008,37,North Carolina,9309449
2009,37,North Carolina,9449566
2010,37,North Carolina,9574586
2011,37,North Carolina,9658913
2012,37,North Carolina,9751810
2013,37,North Carolina,9846717
2014,37,North Carolina,9937295
2015,37,North Carolina,10037218
2016,37,North Carolina,10161802
2017,37,North Carolina,10275758
2018,37,North Carolina,10391358
2019,37,North Carolina,10501384
2020,37,North Carolina,10449445
2021,37,North Carolina,10565885
2022,37,North Carolina,10698973
1970,38,North Dakota,617792
1971,38,North Dakota,626761
1972,38,North Dakota,631118
1973,38,North Dakota,632675
1974,38,North Dakota,634557
1975,38,North Dakota,638887
